data,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
200605,  -7.7397,  -4.8024,  -3.9270,  -3.0400,  -2.5199,  -1.7717
200606,  -0.5519,   0.3022,   0.1600,  -0.0899,   0.1330,   0.9302
200607,  -5.8949,  -2.7085,  -2.1926,  -0.7661,   0.7618,   1.4174
200608,   3.2456,   2.6301,   2.6222,   3.3737,   1.8246,   0.5778
200609,   0.9339,   1.0638,   1.1190,   2.4962,   2.3249,   2.3992
200610,   6.0088,   5.0019,   4.8866,   3.3522,   2.9540,   4.4138
200611,   2.6792,   2.7316,   2.9967,   1.8143,   2.3643,   1.6469
200612,  -0.7442,   0.6764,   2.4280,   0.3463,   1.8265,   3.4874
200701,   2.3577,   0.8439,   2.3579,   1.8917,   1.6887,   1.6679
200702,  -0.1621,  -0.1241,  -0.7557,  -1.9567,  -1.4985,  -1.5535
200703,   1.4221,   1.2688,   0.6710,   0.8521,   1.5008,   1.1665
200704,   2.3510,   2.0736,   1.4775,   4.8486,   3.8181,   3.4236
200705,   4.1643,   3.9451,   3.0731,   3.1950,   3.7158,   4.1993
200706,  -0.5296,  -1.0466,  -1.7160,  -1.0760,  -2.4036,  -2.1366
200707,  -4.8553,  -5.7706,  -7.8222,  -1.4381,  -4.3572,  -5.1334
200708,   1.7296,   2.1810,  -0.8057,   1.7919,   1.8591,  -0.1571
200709,   2.6427,   0.7587,   0.2018,   4.7512,   2.2462,   3.4747
200710,   3.7550,   1.6740,   0.5888,   3.0636,   1.2518,   1.0393
200711,  -7.1625,  -6.7805,  -7.6683,  -3.1823,  -5.5318,  -5.0284
200712,   0.3363,  -0.9348,  -0.6484,  -0.4112,  -1.0047,  -0.4416
200801,  -8.3934,  -5.9736,  -4.1918,  -7.4192,  -4.1254,  -4.3265
200802,  -4.2529,  -2.9848,  -3.6871,  -2.1962,  -3.3502,  -4.6504
200803,  -1.5303,   1.0765,  -0.0096,   0.7902,  -3.0862,  -1.0056
200804,   5.1872,   3.2208,   1.8194,   3.7395,   6.2194,   5.2021
200805,   5.5100,   5.5165,   3.2250,   2.2546,   0.5620,   1.7825
200806,  -7.4552,  -7.5435,  -8.5392,  -7.2226,  -9.1870, -10.9687
200807,   2.2150,   2.6093,   5.5564,  -1.4571,  -2.4734,   6.9616
200808,   3.0539,   3.9458,   7.0059,   1.5201,   1.0303,   0.6110
200809, -11.1911,  -7.3595,  -6.4641,  -9.6306, -10.2159,  -1.6989
200810, -21.9830, -19.2010, -20.4972, -14.9923, -17.4716, -22.2661
200811, -12.0704, -10.8026, -14.3543,  -5.8954,  -6.8136, -15.6433
200812,   5.0105,   4.4718,   5.1982,   1.8408,   0.8617,   1.1523
200901,  -7.4480, -10.2092, -15.8893,  -4.8313, -10.2033, -18.7514
200902,  -9.6626, -11.1671, -15.0980,  -7.3789, -12.7181, -16.4817
200903,   9.1204,  10.4124,  10.8395,   8.0706,   9.0795,  13.4720
200904,  16.5427,  16.6181,  17.2878,   7.3526,  11.1304,  17.6588
200905,   3.7050,   3.0894,   2.4393,   4.6414,   6.1630,   5.4403
200906,   5.2520,   1.6339,   0.8504,   1.2240,  -1.5345,   0.1870
200907,   6.6629,  10.1790,  14.0929,   6.7012,   8.1829,   9.8310
200908,   1.1331,   2.8215,   8.7457,   1.8765,   3.7637,   9.7692
200909,   6.5459,   5.5949,   7.5782,   3.5407,   4.4433,   4.3601
200910,  -6.8041,  -6.1095,  -9.3815,  -0.5686,  -2.6852,  -6.3610
200911,   1.7180,   2.0387,   4.0862,   6.6235,   4.8007,   3.9095
200912,   8.3808,   8.1183,   8.5522,   1.9172,   3.0835,   1.7523
201001,  -3.6856,  -3.0285,  -2.7808,  -4.0577,  -2.2286,  -4.3552
201002,   3.4717,   3.9520,   7.5523,   3.1401,   2.8337,   5.3835
201003,   7.0506,   8.0982,   8.8878,   5.3091,   6.7391,   7.6899
201004,   4.1833,   6.1181,   9.3935,   0.9872,   2.3956,   1.3958
201005,  -6.0381,  -7.0571, -10.4467,  -7.4415,  -8.4347,  -7.8024
201006,  -5.9879,  -7.4281, -10.9769,  -4.5808,  -5.3230,  -8.5836
201007,   6.9177,   6.6868,   7.2050,   6.6603,   7.7866,   5.8559
201008,  -6.8601,  -7.9189,  -8.5746,  -4.0981,  -3.9754,  -6.2888
201009,  14.1499,  12.5701,  11.0254,  10.0477,   9.0366,   6.9056
201010,   4.7893,   4.0567,   3.5920,   4.6564,   3.7447,   0.6481
201011,   3.5362,   4.2669,   3.2461,   0.5252,   0.4183,  -0.9943
201012,   7.0547,   8.3108,   9.5252,   4.9144,   7.8183,  10.0827
201101,  -0.3323,  -0.1216,   0.4930,   2.0532,   2.5250,   2.8697
201102,   5.0129,   5.4190,   5.4176,   2.6169,   4.2494,   4.4073
201103,   3.4876,   2.5601,   1.8938,   0.1303,   1.4401,  -1.4292
201104,   3.5119,   2.0588,   1.0397,   3.6796,   2.8556,   1.1087
201105,  -1.5573,  -2.0129,  -3.3998,  -0.5199,  -1.5148,  -2.8282
201106,  -1.9606,  -1.8884,  -1.9587,  -1.4920,  -1.6953,  -2.1289
201107,  -4.5330,  -4.0237,  -3.4073,  -0.8832,  -2.6123,  -4.4229
201108,  -8.9199,  -9.1250,  -9.8682,  -4.1244,  -6.4981,  -8.1329
201109, -11.1349, -11.5785, -10.9564,  -6.3361,  -7.4062,  -9.3369
201110,  15.5476,  15.7118,  13.2344,   9.9638,  12.3650,  11.9142
201111,  -1.8593,  -0.1197,  -0.2500,  -0.2424,   1.0499,  -2.5383
201112,  -0.5291,   0.5932,   1.1734,  -0.1930,   1.8856,   1.6531
201201,   7.9807,   7.1108,   5.8473,   5.6586,   3.2894,   5.5342
201202,   3.4094,   2.4153,   2.8384,   4.7108,   3.7518,   5.4466
201203,   2.3999,   2.9796,   2.7628,   3.7766,   0.9845,   5.2464
201204,  -1.3126,  -2.1879,  -0.9655,  -0.5950,  -0.4101,  -1.9023
